bm_unit,psr_type,latitude,longitude,capacity
E_JAMBB-2,Battery Storage,56.1986203,-3.3169062,19
E_CROYD-2,Fossil Gas,51.3789,-0.1211,50
E_HAWKB-1,Battery Storage,51.01344,-2.208825,
E_CLAYB-1,Battery Storage,51.5521757,0.2922102,
C__MRWED005,Other,53.7548563,-0.3304943,25
E_MDLWH-1,Fossil Gas,53.1861249,-2.4483498,20
E_VKING-2,Fossil Gas,54.606739,-1.202678,50
T_CRUAD-1,Battery Storage,56.3900167,-5.1763657,120.677
T_SNDND-1,Battery Storage,51.9377394,-0.5132803,50
E_WTRLN-1,Fossil Gas,53.3600519,-0.8300941,20
T_WBURB-41,Battery Storage,53.3600519,-0.8300941,49
E__MDRX001,Fossil Gas,53.7274687,-1.0287442,49
E_ROOSB-1,Battery Storage,54.1076962,-3.2202852,49
E_SUDME-1,Fossil Gas,51.861972,-2.26221,40
E_RDFRB-1,Fossil Gas,52.934823,-1.1772,20
T_WHLWB-1,Battery Storage,55.7122523,-4.3455251,50
T_GRAISC-2,Synchronous Condenser,51.4529756,0.713247,0.686
E_DOWL-1,Fossil Gas,51.7707486,-3.3377762,20
E_RDSCR-1,CCGT,53.7823136,-2.6459103,40
T_KENNW-1,Wind Onshore,55.4901366,-4.4925521,60
T_SAKNW-1,Wind Onshore,55.3589,-4.0984,86.4
E_PLYRK-1,Fossil Gas,41.9559105,-70.6720033,15
E_LSTWY-1,CCGT,51.5970434,-1.1406482,12
E_TRFPK-1,Fossil Gas,52.89167,-1.4747,13.6
E_RAKE-1,Fossil Gas,53.5263,-2.31509,20
E_TDRVE-1,Fossil Gas,51.1357032,-2.9990341,6
E_ALCOA-1,CCGT,51.647179,-4.008401,40
E_CHICK-1,Fossil Gas,50.62357,-2.48907,45
T_LARKS-1,Solar PV,51.578824,-2.494361,49.9
E_BTNHL-1,Fossil Gas,50.4878012,-3.5526161,20
T_GRAISC-1,Synchronous Condenser,51.4529756,0.713247,0.712
E_MORFL-1,Fossil Gas,53.77572,-2.36431,20
